cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms
CrossArea_cluster:624795c3cd	Vip_25	Vip_25	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:2490629f3a	Sncg_3	Sncg_3	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:c19e6ecb21	Vip_3	Vip_3	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:01d93e7878	Vip_9	Vip_9	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:d37227472c	Vip_28	Vip_28	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:4913695557	Pax6_4	Pax6_4	CrossArea_subclass:8095bd2cb8	Pax6	CrossArea_cluster						
CrossArea_cluster:c1363853e5	Sncg_5	Sncg_5	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:a747c02430	Sncg_1	Sncg_1	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:2f2078ae37	Lamp5_7	Lamp5_7	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:81f38daf95	Vip_15	Vip_15	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:ce92aa2fc0	Sncg_6	Sncg_6	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:f9a1f003c1	Lamp5_1	Lamp5_1	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:db141bf46f	Vip_4	Vip_4	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:1035859e11	Vip_26	Vip_26	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:4cfbdd53fc	Vip_17	Vip_17	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:a4237ae379	Lamp5_4	Lamp5_4	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:17734b2606	Sncg_8	Sncg_8	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:f3ce3a65b7	Vip_18	Vip_18	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:b1d43457ca	Vip_5	Vip_5	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:28d80539db	Vip_23	Vip_23	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:95a8235f0d	Vip_10	Vip_10	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:6a8a98beda	Sncg_4	Sncg_4	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:72922d07b8	Vip_8	Vip_8	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:037f0480e8	Vip_27	Vip_27	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:6abb0ffd1f	Vip_22	Vip_22	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:a357dafdb8	Lamp5_3	Lamp5_3	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:6d80f8608e	Vip_12	Vip_12	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:30e1da23ee	Sncg_7	Sncg_7	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_cluster:8ea3fef4e4	Vip_29	Vip_29	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:439c78b112	Pax6_2	Pax6_2	CrossArea_subclass:8095bd2cb8	Pax6	CrossArea_cluster						
CrossArea_cluster:9be4182026	Vip_11	Vip_11	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:c3c9e4953e	Vip_14	Vip_14	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:3efe3bb311	Lamp5 Lhx6_1	Lamp5 Lhx6_1	CrossArea_subclass:3efe3bb311	Lamp5 Lhx6	CrossArea_cluster						
CrossArea_cluster:201758818d	Vip_7	Vip_7	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:9200d5b3cb	Vip_20	Vip_20	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:9f9442562e	Lamp5_6	Lamp5_6	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:fd93a6e3fd	Vip_21	Vip_21	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:67001298fa	Vip_16	Vip_16	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:c49e5ca8ce	Pax6_3	Pax6_3	CrossArea_subclass:8095bd2cb8	Pax6	CrossArea_cluster						
